adult,belongs_to_collection,budget,genres,id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,rating_tmdb,num_votes,poster_full,all_keywords
FALSE,NA,62000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",9087,en,The American President,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",6.318445,/lymPNGLZgPHuqM29rKMGV46ANij.jpg,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Castle Rock Entertainment', 'id': 97}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-11-17,107879496,106,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Why can't the most powerful man in the world have the one thing he wants most?,The American President,FALSE,6.5,199,https://image.tmdb.org/t/p/w500/lymPNGLZgPHuqM29rKMGV46ANij.jpg,"[{'id': 833, 'name': 'white house'}, {'id': 840, 'name': 'usa president'}, {'id': 1605, 'name': 'new love'}, {'id': 33476, 'name': 'widower'}, {'id': 211505, 'name': 'wildlife conservation'}]"
FALSE,NA,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",12110,en,Dracula: Dead and Loving It,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Dr. van Helsing, who may be the only one able to vanquish the count.",5.430331,/xve4cgfYItnOhtzLYoTwTVy5FGr.jpg,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Castle Rock Entertainment', 'id': 97}, {'name': 'Enigma Pictures', 'id': 6368}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-22,0,88,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,NA,Dracula: Dead and Loving It,FALSE,5.7,210,https://image.tmdb.org/t/p/w500/xve4cgfYItnOhtzLYoTwTVy5FGr.jpg,"[{'id': 3633, 'name': 'dracula'}, {'id': 11931, 'name': 'spoof'}]"
FALSE,"{'id': 117693, 'name': 'Balto Collection', 'poster_path': '/w0ZgH6Lgxt2bQYnf1ss74UvYftm.jpg', 'backdrop_path': '/9VM5LiJV0bGb1st1KyHA3cVnO2G.jpg'}",0,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}]",21032,en,Balto,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",12.140733000000001,/gV5PCAVCPNxlOLFM1bKk50EqLXO.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Amblin Entertainment', 'id': 56}, {'name': 'Amblimation', 'id': 4105}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-22,11348324,78,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Part Dog. Part Wolf. All Hero.,Balto,FALSE,7.1,423,https://image.tmdb.org/t/p/w500/gV5PCAVCPNxlOLFM1bKk50EqLXO.jpg,"[{'id': 1994, 'name': 'wolf'}, {'id': 6411, 'name': 'dog-sledding race'}, {'id': 9880, 'name': 'alaska'}, {'id': 15162, 'name': 'dog'}, {'id': 15169, 'name': 'goose'}, {'id': 158175, 'name': 'bear attack'}, {'id': 158370, 'name': 'dog sled'}, {'id': 158371, 'name': 'frozen lake'}]"
FALSE,NA,44000000,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",10858,en,Nixon,"An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.",5.092,/cICkmCEiXRhvZmbuAlsA5D9B2rK.jpg,"[{'name': 'Hollywood Pictures', 'id': 915}, {'name': 'Cinergi Pictures Entertainment', 'id': 1504}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-22,13681765,192,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.",Nixon,FALSE,7.1,72,https://image.tmdb.org/t/p/w500/cICkmCEiXRhvZmbuAlsA5D9B2rK.jpg,"[{'id': 840, 'name': 'usa president'}, {'id': 2946, 'name': 'presidential election'}, {'id': 4240, 'name': 'watergate scandal'}, {'id': 5565, 'name': 'biography'}, {'id': 6086, 'name': 'government'}, {'id': 6165, 'name': 'historical figure'}]"
FALSE,NA,98000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",1408,en,Cutthroat Island,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",7.284477,/odM9973kIv9hcjfHPp6g6BlyTIJ.jpg,"[{'name': 'Le Studio Canal+', 'id': 183}, {'name': 'Laurence Mark Productions', 'id': 415}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}, {'name': 'Carolco Pictures', 'id': 14723}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'IT', 'name': 'Italy'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-22,10017322,119,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'la', 'name': 'Latin'}]",Released,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,Cutthroat Island,FALSE,5.7,137,https://image.tmdb.org/t/p/w500/odM9973kIv9hcjfHPp6g6BlyTIJ.jpg,"[{'id': 911, 'name': 'exotic island'}, {'id': 1454, 'name': 'treasure'}, {'id': 1969, 'name': 'map'}, {'id': 3799, 'name': 'ship'}, {'id': 5470, 'name': 'scalp'}, {'id': 12988, 'name': 'pirate'}]"
FALSE,NA,52000000,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",524,en,Casino,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,10.137389,/xo517ibXBDdYQY81j0WIG7BVcWq.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Légende Entreprises', 'id': 10898}, {'name': 'Syalis DA', 'id': 11583}, {'name': 'De Fina-Cappa', 'id': 11584}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-11-22,116112375,178,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,No one stays at the top forever.,Casino,FALSE,7.8,1343,https://image.tmdb.org/t/p/w500/xo517ibXBDdYQY81j0WIG7BVcWq.jpg,"[{'id': 383, 'name': 'poker'}, {'id': 726, 'name': 'drug abuse'}, {'id': 1228, 'name': '1970s'}, {'id': 2635, 'name': 'overdose'}, {'id': 33625, 'name': 'illegal prostitution'}]"
FALSE,NA,16500000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",4584,en,Sense and Sensibility,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",10.673167,/lA9HTy84Bb6ZwNeyoZKobcMdpMc.jpg,"[{'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'Mirage Enterprises', 'id': 932}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-13,135000000,136,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Lose your heart and come to your senses.,Sense and Sensibility,FALSE,7.2,364,https://image.tmdb.org/t/p/w500/lA9HTy84Bb6ZwNeyoZKobcMdpMc.jpg,"[{'id': 420, 'name': 'bowling'}, {'id': 818, 'name': 'based on novel'}, {'id': 964, 'name': 'servant'}, {'id': 2755, 'name': 'country life'}, {'id': 7564, 'name': 'jane austen'}, {'id': 10911, 'name': 'inheritance'}, {'id': 11109, 'name': 'military officer'}, {'id': 15060, 'name': 'period drama'}, {'id': 156507, 'name': 'rainstorm'}, {'id': 156510, 'name': 'horse and carriage'}, {'id': 156512, 'name': 'decorum'}]"
FALSE,NA,4000000,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]",5,en,Four Rooms,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,9.026586,/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg,"[{'name': 'Miramax Films', 'id': 14}, {'name': 'A Band Apart', 'id': 59}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-09,4300000,98,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",Four Rooms,FALSE,6.5,539,https://image.tmdb.org/t/p/w500/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg,"[{'id': 612, 'name': 'hotel'}, {'id': 613, 'name': ""new year's eve""}, {'id': 616, 'name': 'witch'}, {'id': 622, 'name': 'bet'}, {'id': 922, 'name': 'hotel room'}, {'id': 2700, 'name': 'sperm'}, {'id': 12670, 'name': 'los angeles'}, {'id': 160488, 'name': 'hoodlum'}, {'id': 187056, 'name': 'woman director'}, {'id': 198129, 'name': 'episode film'}]"
FALSE,"{'id': 3167, 'name': 'Ace Ventura Collection', 'poster_path': '/qCxH543pScFed1CycwJ1nVgrkOc.jpg', 'backdrop_path': '/bswWgdDsLu0fhWMYUzLF8XgiK4h.jpg'}",30000000,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",9273,en,Ace Ventura: When Nature Calls,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",8.205448,/wRlGnJhEzcxBjvWtvbjhDSU1cIY.jpg,"[{'name': 'O Entertainment', 'id': 5682}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Morgan Creek Productions', 'id': 10210}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-11-10,212385533,90,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,New animals. New adventures. Same hair.,Ace Ventura: When Nature Calls,FALSE,6.1,1128,https://image.tmdb.org/t/p/w500/wRlGnJhEzcxBjvWtvbjhDSU1cIY.jpg,"[{'id': 409, 'name': 'africa'}, {'id': 1551, 'name': 'indigenous'}, {'id': 2526, 'name': 'human animal relationship'}, {'id': 5155, 'name': 'bat'}]"
FALSE,NA,60000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",11517,en,Money Train,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.",7.337906,/jSozzzVOR2kfXgTUuGnbgG2yRFi.jpg,"[{'name': 'Columbia Pictures', 'id': 5}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-11-21,35431113,103,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"Get on, or GET OUT THE WAY!",Money Train,FALSE,5.4,224,https://image.tmdb.org/t/p/w500/jSozzzVOR2kfXgTUuGnbgG2yRFi.jpg,"[{'id': 380, 'name': 'brother brother relationship'}, {'id': 1552, 'name': 'subway'}, {'id': 14512, 'name': 'new york city'}, {'id': 155735, 'name': 'new york subway'}, {'id': 156120, 'name': 'train robbery'}]"
FALSE,"{'id': 91698, 'name': 'Chili Palmer Collection', 'poster_path': '/ae3smJDdWrMJ77tDpYOrpo4frKq.jpg', 'backdrop_path': '/uWaANGQeoSs5vSP1CWtlkDrkqei.jpg'}",30250000,"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",8012,en,Get Shorty,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",12.669608,/vWtDUUgQAsVyvRW4mE75LBgVm2e.jpg,"[{'name': 'Jersey Films', 'id': 216}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-10-20,115101622,105,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"The mob is tough, but it’s nothing like show business.",Get Shorty,FALSE,6.4,305,https://image.tmdb.org/t/p/w500/vWtDUUgQAsVyvRW4mE75LBgVm2e.jpg,"[{'id': 395, 'name': 'gambling'}, {'id': 416, 'name': 'miami'}, {'id': 818, 'name': 'based on novel'}, {'id': 8438, 'name': 'job'}, {'id': 9826, 'name': 'murder'}, {'id': 9935, 'name': 'travel'}, {'id': 10391, 'name': 'mafia'}, {'id': 10594, 'name': 'money'}, {'id': 11061, 'name': 'debt'}, {'id': 11578, 'name': 'mobster'}, {'id': 12094, 'name': 'business'}, {'id': 12396, 'name': 'hollywood'}, {'id': 13142, 'name': 'gangster'}, {'id': 14536, 'name': 'crime'}, {'id': 14819, 'name': 'violence'}, {'id': 14964, 'name': 'drug'}, {'id': 33879, 'name': 'producer'}, {'id': 159608, 'name': 'con'}]"
